ID,Name
11.16.11,Tenggulun
11.16.12,Sekerak
11.17.01,PintuRime Gayo
11.17.02,Permata
11.17.03,SyiahUtama
11.17.04,Bandar
11.17.05,Bukit
11.17.06,WihPesam
11.17.07,Timanggajah
11.17.08,BenerKelipah
11.17.09,Mesidah
11.17.10,GajahPutih
11.18.01,Meureudu
11.18.02,Ulim
11.18.03,JangkaBuaya
11.18.04,BandarDua
11.18.05,MeurahDua
11.18.06,BandarBaru
11.18.07,Panteraja
11.18.08,Trienggadeng
11.71.01,Baiturrahman
11.71.02,KutaAlam
11.71.03,Meuraxa
11.71.04,SyiahKuala
11.71.05,LuengBata
11.71.06,KutaRaja
11.71.07,BandaRaya
11.71.08,JayaBaru
11.71.09,UleeKareng
11.72.01,Sukakarya
11.72.02,Sukajaya
11.73.01,MuaraDua
11.73.02,BandaSakti
11.73.03,BlangMangat
11.73.04,MuaraSatu
11.74.01,LangsaTimur
11.74.02,LangsaBarat
11.74.03,LangsaKota
11.74.04,LangsaLama
11.74.05,LangsaBaro
11.75.01,SimpangKiri
11.75.02,Penanggalan
11.75.03,Rundeng
11.75.04,SultanDaulat
11.75.05,Longkib
12.01.01,Barus
12.01.02,Sorkam
12.01.03,Pandan
12.01.04,Pinangsori
12.01.05,Manduamas
12.01.06,Kolang
12.01.07,TapianNauli
12.01.08,Sibabangun
12.01.09,Sosorgadong
12.01.10,SorkamBarat
12.01.11,Sirandorung
12.01.12,AndamDewi
12.01.13,Sitahuis
12.01.14,Tukka
12.01.15,Badiri
12.01.16,PasaribuTobing
12.01.17,BarusUtara
12.01.18,SukaBangun
12.01.19,Lumut
12.01.20,Sarudik
12.02.01,Tarutung
12.02.02,SiatasBarita
12.02.03,AdianKoting
12.02.04,Sipoholon
12.02.05,PahaeJulu
12.02.06,PahaeJae
12.02.07,Simangumban
12.02.08,PurbaTua
12.02.09,Siborong-Borong
12.02.10,Pagaran
12.02.11,Parmonangan
12.02.12,Sipahutar
12.02.13,Pangaribuan
12.02.14,Garoga
12.02.15,Muara
12.03.01,AngkolaBarat
12.03.02,BatangToru
12.03.03,AngkolaTimur
12.03.04,Sipirok
12.03.05,SaiparDolok Hole
12.03.06,AngkolaSelatan
12.03.07,BatangAngkola
12.03.14,Arse
12.03.20,Marancar
12.03.21,SayurMatinggi
12.03.22,AekBilah
12.03.29,MuaraBatang Toru
12.03.30,TanoTombangan Angkola
12.03.31,AngkolaSangkunur
12.03.32,AngkolaMuara Tais
12.04.05,Hiliduho
12.04.06,Gido
12.04.10,Idanogawo
12.04.11,Bawolato
12.04.20,Hiliserangkai
12.04.21,Botomuzoi
12.04.27,Ulugawo
12.04.28,Magu
12.04.29,Somolo-molo
12.04.35,Sogaegadu
12.05.01,Bahorok
12.05.02,Salapian
12.05.03,Kuala
12.05.04,SeiBingei
12.05.05,Binjai
12.05.06,Selesai
12.05.07,Stabat
12.05.08,Wampu
12.05.09,Secanggang
12.05.10,Hinai
12.05.11,TanjungPura
12.05.12,PadangTualang
12.05.13,Gebang
12.05.14,Babalan
12.05.15,PangkalanSusu
12.05.16,Besitang
12.05.17,SeiLepan
12.05.18,BerandanBarat
12.05.19,BatangSerangan
12.05.20,SawitSeberang
12.05.21,Sirapit
12.05.22,Kutambaru
12.05.23,PematangJaya
12.06.01,Kabanjahe
12.06.02,Berastagi
12.06.03,Barusjahe
12.06.04,Tigapanah
12.06.05,Merek
12.06.06,Munte
12.06.07,Juhar
12.06.08,Tigabinanga
12.06.09,Laubaleng
12.06.10,Mardingding
12.06.11,Payung
12.06.12,SimpangEmpat
12.06.13,Kutabuluh
12.06.14,DolatRayat
12.06.15,Merdeka
12.06.16,NamanTeran
12.06.17,Tiganderket
12.07.01,GunungMeriah
12.07.02,TanjungMorawa
12.07.03,Sibolangit
12.07.04,Kutalimbaru
12.07.05,PancurBatu
12.07.06,Namorambe
12.07.07,Sibiru-biru
12.07.08,STMHilir
12.07.09,BangunPurba
12.07.19,Galang
12.07.20,STMHulu
12.07.21,Patumbak
12.07.22,DeliTua
12.07.23,Sunggal
12.07.24,HamparanPerak
12.07.25,LabuhanDeli
12.07.26,PercutSei Tuan
12.07.27,BatangKuis
12.07.28,LubukPakam
12.07.31,PagarMerbau
12.07.32,PantaiLabu
12.07.33,Beringin
12.08.01,Siantar
12.08.02,GunungMalela
12.08.03,GunungMaligas
12.08.04,Panei
12.08.05,PanombeianPane
12.08.06,JorlangHataran
12.08.07,RayaKahean
12.08.08,BosarMaligas
12.08.09,Sidamanik
12.08.10,PematangSidamanik
12.08.11,TanahJawa
12.08.12,Hatonduhan
12.08.13,DolokPanribuan
12.08.14,Purba
12.08.15,HaranggaolHorison
12.08.16,GirsangSipangan Bolon
12.08.17,DolokBatu Nanggar
12.08.18,HutaBayu Raja
12.08.19,JawaMaraja Bah Jambi
12.08.20,DolokPardamean
12.08.21,PematangBandar
12.08.22,BandarHuluan
12.08.23,Bandar
12.08.24,BandarMasilam
12.08.25,Silimakuta
12.08.26,DolokSilau
12.08.27,SilouKahean
12.08.28,TapianDolok
12.08.29,Raya
12.08.30,UjungPadang
12.08.31,PamatangSilima Huta
12.08.32,DologMasagal
12.09.08,Meranti
12.09.09,AirJoman
12.09.10,TanjungBalai
12.09.11,SeiKepayang
12.09.12,SimpangEmpat
12.09.13,AirBatu
12.09.14,PulauRakyat
12.09.15,BandarPulau
12.09.16,BuntuPane
12.09.17,BandarPasir Mandoge
12.09.18,AekKuasan
12.09.19,KotaKisaran Barat
12.09.20,KotaKisaran Timur
12.09.21,AekSongsongan
12.09.22,Rahunig
12.09.23,SeiDadap
12.09.24,SeiKepayang Barat
12.09.25,SeiKepayang Timur
12.09.26,TinggiRaja
12.09.27,SetiaJanji
12.09.28,SilauLaut
12.09.29,RawangPanca Arga
12.09.30,PuloBandring
12.09.31,TelukDalam
12.09.32,AekLedong
12.10.01,RantauUtara
12.10.02,RantauSelatan
12.10.07,BilahBarat
12.10.08,BilahHilir
12.10.09,BilahHulu
12.10.14,Pangkatan
12.10.18,PanaiTengah
12.10.19,PanaiHilir
12.10.20,PanaiHulu
12.11.01,Sidikalang
12.11.02,Sumbul
12.11.03,Tigalingga
12.11.04,SiempatNempu
12.11.05,SilimaPungga Pungga
12.11.06,TanahPinem
12.11.07,SiempatNempu Hulu
12.11.08,SiempatNempu Hilir
12.11.09,PegaganHilir
12.11.10,Parbuluan
12.11.11,LaeParira
12.11.12,GunungSitember
12.11.13,Berampu
12.11.14,Silahisabungan
12.11.15,Sitinjo
12.12.01,Balige
12.12.02,Laguboti
12.12.03,Silaen
